,ingredients,explanation,reference
10,azelaic-acid,"['ExplainedAzelaic acid is a naturally occurring acid that is derived from grains. However, the lab-created form is typically used within cosmetic products as it has better shelf-stability.It has been shown to be effective in the treatment of acne, rosacea, and other skin conditions. Azelaic acid helps reduce the growth of bacteria that cause acne and helps to reduce inflammation.It also helps to improve the appearance of skin by reducing the production of sebum and unclogging pores.Azelaic Acid also has antioxidant properties. Antioxidants help fight free-radicals. Free-radicals are molecules that may damage your skin cells, such as pollution.One of the main benefits of azelaic acid is that it is gentle and well-tolerated by most people. It is also non-comedogenic, meaning that it will not clog pores.']","['https://onlinelibrary.wiley.com/doi/full/10.1111/jocd.14098', 'https://pubmed.ncbi.nlm.nih.gov/1712709/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193765/']"
11,sodium-hyaluronate,"[""ExplainedSodium Hyaluronate ishyaluronic acid's salt form. It is commonly derived from the sodium salt of hyaluronic acid.Like hyaluronic acid, it is great at holding water and acts as a humectant. This makes it a great skin hydrating ingredient.Sodium Hyaluronate is naturally occurring in our bodies and is mostly found in eye fluid and joints.These are some other common types of Hyaluronic Acid:Hyaluronic AcidHydrolyzed Hyaluronic AcidSodium Hyaluronate Crosspolymer""]","['https://jddonline.com/articles/efficacy-and-tolerability-of-low-molecular-weight-hyaluronic-acid-sodium-salt-02-cream-in-rosacea-S1545961613P0664X/', 'https://madridge.org/journal-of-chemistry-and-research/ijcr-1000103.pdf']"
12,squalane,"['ExplainedSqualane is an emollient that helps the skin hold onto moisture. It\'s an oily liquid that occurs naturally in certain types of fish and plant oils.Because squalane boosts hydration in the skin, it also comes with plenty of benefits: it is an antioxidant and can help fight free radicals and skin damage. Squalane is also found to have a detoxifying effect when applied.Squalane comes fromsqualene, which occurs naturally within the sebum of our skin. It is one of the oils our skin produces to keep itself hydrated. Squalane is the hydrogenated version of squalene and has a longer shelf life.Research shows that squalane is non-irritating (even at 100% concentration).In general, it\'s a fantastic ingredient. It does a great job at hydrating the skin, and it\'s suitable for those with sensitive skin.The source of squalane may impact malassezia / fungal acne. This is because olive oil derived squalane can contain impurities such as fatty acids and plant waxes. Sugarcane derived squalane is recommended for anyone with malassezia concerns.Is squalane vegan?This depends on the source. Squalane can be derived from both plants and animals. Most squalane used in skincare comes from plants.Please note: the source of squalane is only known if disclosed by the brand. We recommend reaching out to the brand if you have any questions about their squalane.Read more aboutsqualenewith an ""e"".']","['https://pubchem.ncbi.nlm.nih.gov/compound/Squalane', 'https://pubmed.ncbi.nlm.nih.gov/22361190/', 'https://pubmed.ncbi.nlm.nih.gov/29883523/', 'https://www.cosmeticsinfo.org/ingredients/squalane/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6253993/']"
13,lactic-acid,"[""ExplainedLactic Acid is an AHA that is derived from fermenting lactose, a carbohydrate from milk. It removes the top layer of old and dead skin cells and helps increase cell turnover.Benefits of Lactic Acid are that it can help to reduce large pores and reduce the effects of aging. Some potential downsides are that it can be bad for dry skin, cause irritation, worsen eczema, and worsen rosacea.Not only does it help exfoliate the skin, it helps strengthen the skin's barrier. When applied, lactic acid helps the skin create ceramides.Lactic acid is an over-the-counter chemical exfoliant that comes from the fermentation of lactose — a carbohydrate found in milk.Legend has it that Cleopatra used to bathe in sour milk to help reduce wrinkles.Read more about some other popular AHA's here:Glycolic AcidCitric AcidMalic Acid""]","['https://onlinelibrary.wiley.com/doi/abs/10.1111/ijd.14202', 'https://onlinelibrary.wiley.com/doi/full/10.1111/ics.12594', 'https://pubmed.ncbi.nlm.nih.gov/8784274/', 'https://www.mcgill.ca/oss/article/science-science-everywhere-you-asked/why-did-cleopatra-supposedly-bathe-sour-donkey-milk']"
14,tretinoin,"['ExplainedTretinoin is a form of Vitamin A. It is stronger than retinol and only available with a prescription in many countries.Research on tretinoin has found it to be effective in anti-aging the skin. It helps improve damage from the sun, even the skin tone, and smooth out wrinkles.Tretinoin has also been found to be an effective acne treatment by reducing sebum production in pores.Tretinoin, like other forms of Vitamin A, increases the turnover cycle of skin cells. This helps the skin create newer and healthier skin cells faster. Due to its strength, it can cause irritation, redness, and dry skin. Those with sensitive skin should consult a professional about using tretinoin.It is not recommended to use tretinoin or other retinols while pregnant.Read aboutRetinol']","['https://academic.oup.com/asj/article/30/1/74/199813', 'https://link.springer.com/article/10.1007/s13555-017-0185-2', 'https://pubmed.ncbi.nlm.nih.gov/26578346/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3225141/']"
15,benzoyl-peroxide,"[""ExplainedBenzoyl Peroxide is famous for fighting acne. This is because it does a variety of tasks on the skin: it helps reduce excess oil, kill bacteria, and clear out dead skin cells. In other words, it is effective at unclogging pores.These properties make it great at fighting different types of acne, including cystic and inflammatory types of acne.When targeting the bacteria in your pores, Benzoyl Peroxide has been shown to kill the bacteria without causing sensitivity. It also helps keep your skin's natural bacteria and biome balanced. Having a healthy biome protects your skin from external harmful factors.Once Benzoyl Peroxide is absorbed into the skin, our bodies turn it into benzoic acid and quickly exits in urine.When using Benzoyl Peroxide, it may be irritating for some people due to a variety of reasons, such as a broken skin barrier or just an allergic reaction. We recommend speaking with a professional about using this ingredient if you have concerns.""]","['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3016935/', 'https://jddonline.com/articles/the-role-of-benzoyl-peroxide-in-the-new-treatment-paradigm-for-acne-S1545961613S0073X/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5055040/', 'https://pubmed.ncbi.nlm.nih.gov/32038748/', 'https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011154.pub2/full', 'https://pubmed.ncbi.nlm.nih.gov/2948929/']"
16,snail-secretion-filtrate,"[""ExplainedSnail Secretion Filtrate is the excretion from snails. It is an effective moisturizer and promotes collagen production.Snail Secretion helps repair the skin barrier, helping the skin stay hydrated. It also contains ingredients that tell the skin to create more collagen such asglycolic acid.Snail Secretion Filtrate is also great for soothing skin because it also containsallantoin.On top of this, Snail Secretion Filtrate contains a variety of vitamins and minerals. These include copper peptides,Vitamin A, andvitamin E. Vitamins A and E are antioxidants. Antioxidants help fight free-radicals, molecules that damage skin cells. Fighting off free-radicals can slow the process of wrinkle formation and hyperpigmentation.Is Snail Secretion Filtrate cruelty-free?Being cruelty-free means a brand does not experiment on animals.If you're worried about the well-being of the snails, we recommend looking more into the company of the product. Many brands have developed humane methods to collect snail mucin.Is Snail Secretion Filtrate vegan?There is much debate on this subject. On one hand, this ingredient comes from an animal. On the other hand, many will argue the ingredient is naturally secreted (like a natural by-product) and therefore vegan. If you have reservations, you can look intoGalactomyces Ferment FiltrateorCentella Asiatica Extractas alternatives.""]","['https://pubmed.ncbi.nlm.nih.gov/23652894/', 'https://www.frontiersin.org/articles/10.3389/fbioe.2021.734023/full', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6281574/', 'https://www.researchgate.net/publication/340816955_Efficacy_and_Safety_of_a_New_Cosmeceutical_Regimen_Based_on_the_Combination_of_Snail_Secretion_Filtrate_and_Snail_Egg_Extract_to_Improve_Signs_of_Skin_Aging']"
17,bha,"['ExplainedThis BHA stands for butylated hydroxyanisole. If you are looking for thebeta-hydroxy acid, aka as Salicylic Acid, click here.In cosmetics, butylated hydroxyanisole is used as a perservative. It also has antioxidant properties. The concentrations usually used in skincare are low and do not penetrate through skin.However, it is considered a carcinogen when ingested.Butylated Hydroxyanisole is a synthetic and waxy petrochemical. It is used as a preservative in foods and cosmetics.']","['https://ntp.niehs.nih.gov/ntp/roc/content/profiles//butylatedhydroxyanisole.pdf', 'https://pubmed.ncbi.nlm.nih.gov/12396675/']"
18,ceramide-np,"['ExplainedCeramide NP is a type of ceramide.Ceramides are intercellular lipids naturally found in our skin that bonds dead skin cells together to create a barrier. They are known for their ability to hold water and thus are a great ingredient for dry skin.Ceramides are an important building block for our skin barrier. A stronger barrier helps the skin look more firm and hydrated. By bolstering the skin ceramides act as a barrier against irritating ingredients. This can help with inflammation as well.If you would like to eat ceramides, sweet potatoes contain a small amount.Read more about other common types of ceramides here:Ceramide APCeramide EOP']","['https://link.springer.com/chapter/10.1007/978-981-16-5304-9_6', 'https://pubmed.ncbi.nlm.nih.gov/30410378/', 'https://www.karger.com/Article/FullText/445955']"
19,ceramide-ap,"['ExplainedCeramide AP is a type of Ceramide.Ceramides are intercellular lipids naturally found in our skin that bonds dead skin cells together to create a barrier. Having a strong skin barrier leads to more firm and hydrated skin.They are known for their ability to hold water and thus are a great ingredient for dry skin. By bolstering the skin ceramides act as a barrier against irritating ingredients. This can help with inflammation as well.If you would like to eat ceramides, sweet potatoes contain a small amount.Read more about other common types of ceramides here:Ceramide NPCeramide EOP']","['https://pubmed.ncbi.nlm.nih.gov/30410378/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6720956/']"
20,citric-acid,"[""ExplainedCitric Acid is an AHA derived from citrus fruits (think oranges, lemons, and limes!).If you spot Citric Acid near the end of an ingredient list, it's likely there as a pH adjuster rather than an active ingredient.As an AHA, Citric Acid removes the top layer of skin cells from the newer layer of skin underneath. This helps skin to remove dark spots and look more even.Read more about some other popular AHA's here:Glycolic AcidLactic AcidMalic AcidMandelic Acid""]","['https://nigerianjsurg.com/article.asp?issn=1117-6806;year=2020;volume=26;issue=2;spage=122;epage=126;aulast=Tandon;type=3', 'https://pubmed.ncbi.nlm.nih.gov/9256916/', 'https://www.mdpi.com/1420-3049/23/4/863']"
21,tocopherol,"[""ExplainedTocopherol (also known as Vitamin E) is a common antioxidant used to help protect the skin from free-radicals and strengthen the skin barrier. It's also fat soluble - this means our skin is great at absorbing it.Vitamin E also helps keep your natural skin lipids healthy. Your lipid skin barrier naturally consists of lipids, ceramides, and fatty acids. Vitamin E offers extra protection for your skin’s lipid barrier, keeping your skin healthy and nourished.Another benefit is a bit of UV protection. Vitamin E helps reduce the damage caused by UVB rays. (It should not replace your sunscreen). Combining it with Vitamin C can decrease sunburned cells and hyperpigmentation after UV exposure.You might have noticed Vitamin E + C often paired together. This is because it is great at stabilizingVitamin C. Using the two together helps increase the effectiveness of both ingredients.There are often claims that Vitamin E can reduce/prevent scarring, but these claims haven't been confirmed by scientific research.""]","['https://pubmed.ncbi.nlm.nih.gov/29891745/', 'https://pubmed.ncbi.nlm.nih.gov/34122682/', 'https://pubmed.ncbi.nlm.nih.gov/33070130/', 'https://journals.lww.com/idoj/Fulltext/2016/07040/Vitamin_E_in_dermatology.18.aspx', 'https://journals.sagepub.com/doi/full/10.1177/1091581818794455', 'https://www.frontiersin.org/articles/10.3389/fphar.2022.1006198/full']"
22,camellia-sinensis-leaf-extract,"['ExplainedCamellia Sinensis Leaf Extract is from the oil in tea tree leaves. The kind of tea you can drink also comes from this tree.Camellia Sinensis Leaf Extract has many benefits. It contains polyphenols, a strong antioxidant. Antioxidants help fight off free-radical molecules that damage skin cells. The antioxidants in green tea neutralize free-radicals from the sun. This gives the skin some extra UV protection, but should not replace sunscreen.Many components of tea have anti-inflammatory properties. Polyphenols and L-theanine help soothe the skin and reduce irritation. L-theanine is an amino acid that makes up most of the amino acids found in tea leaves. The caffeine in Camellia Sinensis Leaf Extract helps calm inflamed blood vessels.Camellia Sinensis Leaf Extract also contains Vitamin Bs, linoleic acid, magnesium, calcium, iron, and zinc.Camellia Sinensis Leaf Extract also has antimicrobial properties.Research has shown both drinking Camellia Sinensis Leaf Tea and applying it to the skin can help boost skin elasticity and hydration. Studies also show using tea extract may reduce sebum, or oil, production.']","['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4548173/', 'https://pubmed.ncbi.nlm.nih.gov/17254040/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6930595/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8016378/', 'https://www.mdpi.com/2079-9284/9/5/96']"
23,alpha-arbutin,"['ExplainedAlpha-Arbutin is made from hydroquinone and glucose. It may be derived from the fermentation of soybeans.It is an antioxidant. Antioxidants help fight free-radicals, or molecules that may damage your skin cells.Studies show this ingredient helps improve hyperpigmentation and fade discoloration.Alpha-Arbutin may be used with other ingredients that help with hyperpigmentation. These ingredients includeretinol,Vitamin C,niacinamide, andtranexamic acid.']","['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3663177/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8301119/', 'https://www.sciencedirect.com/science/article/pii/S0022202X15526663']"
24,ceramide-1,"['ExplainedCeramide 1 is a type of Ceramide.Ceramides are intercellular lipids naturally found in our skin that bonds dead skin cells together to create a barrier. They are known for their ability to hold water and thus are a great ingredient for dry skin.Ceramide 1 (Retired) is the N-acylated phytosphingosine having the erythro structure that conforms generally to the formula, where n has a value ranging from 10 to 20. The INCI Name, Ceramide 1, originally developed in 1997, was designated with a retired status in 2014. For an interim period of time, trade name assignments formerly published with the INCI Name Ceramide 1 will be retained in the retired monograph, and also published with the new name assignment, Ceramide EOP.']",[]
25,retinal,"['ExplainedRetinal is a form of retinoid. Retinoids are a group of vitamin A compounds with anti-aging and acne fighting benefits.Retinal has many benefits as other retinoids: improve skin texture, reduce large pores, reduce the effects of aging, reduce the visibility of dark spots, heal scars, and fight acne.Studies show retinal may work at a faster rate than retinol due to its structure. Retinoids have to be converted into retinoic acid before starting to work. Some retinoids take several steps of conversion before binding. Retinal is only one step away, making it more potent.Like other retinoids, retinal may be irritating. It is best to ease into using this ingredient daily. It is best to avoid mixing other active ingredients if you have sensitive skin.']","['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6791161/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8706521/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8750127/']"
26,allantoin,"['ExplainedAllantoin plays a role in soothing and moisturizing the skin. Because of this, it is often added to products with strong active ingredients.Some studies have shown this ingredient can promote wound healing with higher concentrations.Allantoin is derived from the comfrey plant but produced synthetically for cosmetic products to ensure purity.']","['https://onlinelibrary.wiley.com/doi/10.1002/ptr.5356', 'https://pubmed.ncbi.nlm.nih.gov/20626444/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4885180/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5172479/']"
27,copper-tripeptide-1,"['ExplainedCopper Tripeptide-1 is a peptide naturally found in body fluids. Peptides are building blocks for protein.Copper Tripeptide-1 tells our body to create more collagen. Collagen is a protein that makes connective tissue. Boosting collagen production leads to a healthier skin barrier. Having a healthy skin barrier means having firm and hydrated skin.By breaking down damaged collagen, it also helps with removing scar tissue. It may also help with reducing sunspots, acne scars, and uneven skin tone.This ingredient is also an antioxidant. Antioxidants help the body fight off free-radicals. Free radicals are molecules that damage our cells, such as pollution and tobacco smoke.Studies find Copper Tripeptide-1 helps maintain tissues in blood vessels.Read more about other common types of peptides here:Palmitoyl Tetrapeptide-7Palmitoyl Tripeptide-1Acetyl Hexapeptide-8']","['https://www.hindawi.com/journals/bmri/2015/648108/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6073405/']"
28,centella-asiatica-leaf-cell-extract,['ExplainedCentella Asiatica Leaf Cell Extract is an antioxidant.'],[]
29,aloe-barbadensis-leaf-juice,"['ExplainedAloe Barbadensis Leaf Juice comes from leaves of the aloe plant. Aloe Barbadensis Leaf Juice is best known for helping to soothe sunburns. It is also anti-inflammatory, moisturizing, antiseptic, and can help heal wounds.Aloe is packed with good stuff including VitaminsA,C, andE. These vitamins are antioxidants, which help fight free-radicals and the damage they may cause. Free-radicals are molecules that may damage your skin cells, such as pollution.Aloe Barbadensis Leaf Juice also contains sugars. These sugars come in the form of monosaccharides and polysaccharides, folic acid, and choline. These sugars are able to help bind moisture to skin.It also contains minerals such as calcium, 12 anthraquinones, fatty acids, amino acids, and Vitamin B12.']","['https://pubmed.ncbi.nlm.nih.gov/17613130/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2763764/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6245421/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6349368/']"
30,tranexamic-acid,"['ExplainedTranexamic Acid is derived fromlysine, an amino acid.Tranexamic Acid is best used for treating hyperpigmentation, discoloration, and melasma. It can also help build a stronger skin barrier.While is often compared to retinol, Tranexamic Acid has similar benefits. Retinol is Vitamin A whereas Tranexamic Acid is from an amino acid . Once applied, Tranexamic Acid starts decreasing inflammation from UV exposure. Tranexamic Acid also prevents our skin cells from meeting the pigment production cells.Tranexamic Acid is also a medication used to reduce heavy bleeding.']","['https://pubmed.ncbi.nlm.nih.gov/32588531/', 'https://pubmed.ncbi.nlm.nih.gov/35076997/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4235096/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6484568/']"
31,propolis-extract,"['ExplainedPropolis Extract is also known as bee glue. It is a resinous mixture created from beeswax, bee saliva, and parts of trees.Propolis Extract has antimicrobial, anti-inflammatory, wound healing, and antioxidant properties. Studies show propolis helps fight against bacteria, viruses, and fungi. This may help with reducing acne and accelerate wound healing.The flavonoids found in propolis extract are potent antioxidants. Antioxidants may help with reducing the signs of aging.A study from 2020 found propolis to help reverse skin damage from UV.Bees use propolis as a sealant to close any gaps in their hives.speeding up new healthy cell growth.']","['https://pubmed.ncbi.nlm.nih.gov/22179947/', 'https://pubmed.ncbi.nlm.nih.gov/22707327/', 'https://burnstrauma.biomedcentral.com/articles/10.1186/s41038-015-0010-z', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3872021/', 'https://www.mdpi.com/2076-3921/9/4/335']"
